Empleado,Fecha,Hora_Entrada,Hora_Salida,Estado,Departamento
Juan Pérez,2024-02-23,08:06,17:53,Presente,RRHH
Juan Pérez,2024-02-26,09:10,18:52,Tarde,RRHH
Juan Pérez,2024-02-27,08:06,17:00,Presente,RRHH
Juan Pérez,2024-02-28,08:08,18:14,Presente,RRHH
Juan Pérez,2024-02-29,08:09,17:22,Presente,RRHH
Juan Pérez,2024-03-01,09:01,17:25,Permiso,RRHH
Juan Pérez,2024-03-04,08:10,18:01,Presente,RRHH
Juan Pérez,2024-03-05,08:06,18:48,Presente,RRHH
Juan Pérez,2024-03-06,09:06,17:00,Tarde,RRHH
Juan Pérez,2024-03-07,08:13,17:39,Presente,RRHH
Juan Pérez,2024-03-08,09:01,18:38,Permiso,RRHH
Juan Pérez,2024-03-11,08:03,18:24,Presente,RRHH
Juan Pérez,2024-03-12,08:13,17:17,Presente,RRHH
Juan Pérez,2024-03-13,08:10,17:41,Presente,RRHH
Juan Pérez,2024-03-14,08:10,18:16,Presente,RRHH
Juan Pérez,2024-03-15,08:08,17:01,Presente,RRHH
Juan Pérez,2024-03-18,08:14,18:40,Presente,RRHH
Juan Pérez,2024-03-19,09:06,18:16,Tarde,RRHH
Juan Pérez,2024-03-20,08:02,17:44,Presente,RRHH
Juan Pérez,2024-03-21,08:06,18:32,Presente,RRHH
Juan Pérez,2024-03-22,08:08,17:35,Presente,RRHH
Juan Pérez,2024-03-25,09:29,17:34,Tarde,RRHH
Juan Pérez,2024-03-26,08:13,17:22,Presente,RRHH
Juan Pérez,2024-03-27,08:10,17:04,Presente,RRHH
Juan Pérez,2024-03-28,09:14,18:51,Permiso,RRHH
Juan Pérez,2024-03-29,08:00,18:35,Presente,RRHH
María González,2024-01-01,08:09,17:53,Presente,Finanzas
María González,2024-01-02,08:11,18:49,Presente,Finanzas
María González,2024-01-03,N/A,N/A,Ausente,Finanzas
María González,2024-01-04,08:11,17:42,Presente,Finanzas
María González,2024-01-05,08:07,18:16,Presente,Finanzas
María González,2024-01-08,08:14,17:24,Presente,Finanzas
María González,2024-01-09,09:27,17:14,Permiso,Finanzas
María González,2024-01-10,08:05,18:03,Presente,Finanzas
María González,2024-01-11,08:14,18:56,Presente,Finanzas
María González,2024-01-12,08:00,17:43,Presente,Finanzas
María González,2024-01-15,08:10,17:48,Presente,Finanzas
María González,2024-01-16,08:02,18:14,Presente,Finanzas
María González,2024-01-17,08:07,17:41,Presente,Finanzas
María González,2024-01-18,08:14,18:45,Presente,Finanzas
María González,2024-01-19,08:10,18:16,Presente,Finanzas
María González,2024-01-22,08:03,18:20,Presente,Finanzas
María González,2024-01-23,08:03,18:10,Presente,Finanzas
María González,2024-01-24,08:07,18:29,Presente,Finanzas
María González,2024-01-25,08:12,17:24,Presente,Finanzas
María González,2024-01-26,08:07,18:05,Presente,Finanzas
María González,2024-01-29,08:00,18:12,Presente,Finanzas
María González,2024-01-30,08:11,18:43,Presente,Finanzas
María González,2024-01-31,08:09,17:36,Presente,Finanzas
María González,2024-02-01,08:14,17:28,Presente,Finanzas
María González,2024-02-02,09:01,17:12,Tarde,Finanzas
María González,2024-02-05,08:08,18:44,Presente,Finanzas
María González,2024-02-06,08:08,17:27,Presente,Finanzas
María González,2024-02-07,08:02,18:40,Presente,Finanzas
María González,2024-02-08,08:10,17:20,Presente,Finanzas
María González,2024-02-09,08:12,18:10,Presente,Finanzas
María González,2024-02-12,08:11,17:22,Presente,Finanzas
María González,2024-02-13,09:14,17:52,Tarde,Finanzas
María González,2024-02-14,08:05,18:17,Presente,Finanzas
María González,2024-02-15,08:11,18:29,Presente,Finanzas
María González,2024-02-16,08:10,18:53,Presente,Finanzas
María González,2024-02-19,08:05,18:46,Presente,Finanzas
María González,2024-02-20,08:01,18:42,Presente,Finanzas
María González,2024-02-21,08:10,18:13,Presente,Finanzas
María González,2024-02-22,08:10,17:26,Presente,Finanzas
María González,2024-02-23,08:04,17:22,Presente,Finanzas
María González,2024-02-26,08:10,18:33,Presente,Finanzas
María González,2024-02-27,08:02,18:12,Presente,Finanzas
María González,2024-02-28,09:10,18:11,Tarde,Finanzas
María González,2024-02-29,08:00,18:26,Presente,Finanzas
María González,2024-03-01,09:01,18:20,Tarde,Finanzas
María González,2024-03-04,08:06,17:16,Presente,Finanzas
María González,2024-03-05,N/A,N/A,Ausente,Finanzas
María González,2024-03-06,08:00,18:12,Presente,Finanzas
María González,2024-03-07,08:09,17:58,Presente,Finanzas
María González,2024-03-08,08:10,17:03,Presente,Finanzas
María González,2024-03-11,09:09,18:48,Tarde,Finanzas
María González,2024-03-12,08:09,18:55,Presente,Finanzas
María González,2024-03-13,08:01,17:21,Presente,Finanzas
María González,2024-03-14,08:10,18:18,Presente,Finanzas
María González,2024-03-15,09:10,18:46,Tarde,Finanzas
María González,2024-03-18,08:11,18:14,Presente,Finanzas
María González,2024-03-19,08:09,17:07,Presente,Finanzas
María González,2024-03-20,08:08,18:38,Presente,Finanzas
María González,2024-03-21,08:11,18:57,Presente,Finanzas
María González,2024-03-22,08:05,17:09,Presente,Finanzas
María González,2024-03-25,09:07,18:52,Tarde,Finanzas
María González,2024-03-26,08:06,18:50,Presente,Finanzas
María González,2024-03-27,N/A,N/A,Ausente,Finanzas
María González,2024-03-28,08:14,17:56,Presente,Finanzas
María González,2024-03-29,08:01,18:08,Presente,Finanzas
Carlos López,2024-01-01,08:09,18:10,Presente,IT
Carlos López,2024-01-02,N/A,N/A,Ausente,IT
Carlos López,2024-01-03,08:13,18:58,Presente,IT
Carlos López,2024-01-04,09:15,17:01,Tarde,IT
Carlos López,2024-01-05,09:22,18:47,Tarde,IT
Carlos López,2024-01-08,09:23,18:46,Permiso,IT
Carlos López,2024-01-09,08:06,18:20,Presente,IT
Carlos López,2024-01-10,08:12,17:02,Presente,IT
Carlos López,2024-01-11,08:00,17:39,Presente,IT
Carlos López,2024-01-12,09:06,17:24,Permiso,IT
Carlos López,2024-01-15,08:08,18:44,Presente,IT
Carlos López,2024-01-16,08:10,18:55,Presente,IT
Carlos López,2024-01-17,09:15,18:05,Tarde,IT
Carlos López,2024-01-18,N/A,N/A,Ausente,IT
Carlos López,2024-01-19,09:13,17:52,Tarde,IT
Carlos López,2024-01-22,08:14,18:37,Presente,IT
Carlos López,2024-01-23,08:01,18:16,Presente,IT
Carlos López,2024-01-24,08:00,17:13,Presente,IT
Carlos López,2024-01-25,08:05,18:38,Presente,IT
Carlos López,2024-01-26,08:13,17:00,Presente,IT
Carlos López,2024-01-29,08:02,18:51,Presente,IT
Carlos López,2024-01-30,08:11,18:35,Presente,IT
Carlos López,2024-01-31,09:14,18:28,Permiso,IT
Carlos López,2024-02-01,08:03,18:42,Presente,IT
Carlos López,2024-02-02,08:13,18:36,Presente,IT
Carlos López,2024-02-05,08:13,18:45,Presente,IT
Carlos López,2024-02-06,08:06,17:38,Presente,IT
Carlos López,2024-02-07,08:10,17:29,Presente,IT
Carlos López,2024-02-08,08:04,17:33,Presente,IT
Carlos López,2024-02-09,08:06,17:40,Presente,IT
Carlos López,2024-02-12,08:00,17:54,Presente,IT
Carlos López,2024-02-13,N/A,N/A,Ausente,IT
Carlos López,2024-02-14,08:08,17:35,Presente,IT
Carlos López,2024-02-15,08:06,18:35,Presente,IT
Carlos López,2024-02-16,08:05,17:14,Presente,IT
Carlos López,2024-02-19,08:01,17:02,Presente,IT
Carlos López,2024-02-20,08:02,17:30,Presente,IT
Carlos López,2024-02-21,09:01,17:51,Permiso,IT
Carlos López,2024-02-22,08:10,17:03,Presente,IT
Carlos López,2024-02-23,08:00,18:16,Presente,IT
Carlos López,2024-02-26,08:08,17:47,Presente,IT
Carlos López,2024-02-27,09:01,17:01,Permiso,IT
Carlos López,2024-02-28,08:03,17:18,Presente,IT
Carlos López,2024-02-29,08:09,17:15,Presente,IT
Carlos López,2024-03-01,08:09,17:25,Presente,IT
Carlos López,2024-03-04,N/A,N/A,Ausente,IT
Carlos López,2024-03-05,08:11,18:03,Presente,IT
Carlos López,2024-03-06,09:06,18:15,Tarde,IT
Carlos López,2024-03-07,08:14,17:01,Presente,IT
Carlos López,2024-03-08,08:07,17:20,Presente,IT
Carlos López,2024-03-11,08:07,17:05,Presente,IT
Carlos López,2024-03-12,09:05,18:03,Tarde,IT
Carlos López,2024-03-13,09:25,17:30,Tarde,IT
Carlos López,2024-03-14,08:14,17:00,Presente,IT
Carlos López,2024-03-15,08:05,17:38,Presente,IT
Carlos López,2024-03-18,N/A,N/A,Ausente,IT
Carlos López,2024-03-19,08:13,17:02,Presente,IT
Carlos López,2024-03-20,08:02,17:18,Presente,IT
Carlos López,2024-03-21,08:01,17:41,Presente,IT
Carlos López,2024-03-22,09:19,17:00,Tarde,IT
Carlos López,2024-03-25,09:09,18:27,Permiso,IT
Carlos López,2024-03-26,08:12,17:35,Presente,IT
Carlos López,2024-03-27,08:06,18:05,Presente,IT
Carlos López,2024-03-28,09:14,17:37,Permiso,IT
Carlos López,2024-03-29,08:13,17:03,Presente,IT
Ana Martínez,2024-01-01,08:14,17:21,Presente,Finanzas
Ana Martínez,2024-01-02,08:09,18:22,Presente,Finanzas
Ana Martínez,2024-01-03,09:24,17:06,Permiso,Finanzas
Ana Martínez,2024-01-04,08:09,18:07,Presente,Finanzas
Ana Martínez,2024-01-05,08:10,17:11,Presente,Finanzas
Ana Martínez,2024-01-08,08:12,18:40,Presente,Finanzas
Ana Martínez,2024-01-09,08:01,18:03,Presente,Finanzas
Ana Martínez,2024-01-10,08:12,17:05,Presente,Finanzas
Ana Martínez,2024-01-11,08:08,18:59,Presente,Finanzas
Ana Martínez,2024-01-12,08:12,17:42,Presente,Finanzas
Ana Martínez,2024-01-15,08:08,18:26,Presente,Finanzas
Ana Martínez,2024-01-16,08:12,18:22,Presente,Finanzas
Ana Martínez,2024-01-17,09:15,17:16,Tarde,Finanzas
Ana Martínez,2024-01-18,08:07,18:22,Presente,Finanzas
Ana Martínez,2024-01-19,08:14,17:59,Presente,Finanzas
Ana Martínez,2024-01-22,08:14,18:30,Presente,Finanzas
Ana Martínez,2024-01-23,09:23,18:33,Tarde,Finanzas
Ana Martínez,2024-01-24,N/A,N/A,Ausente,Finanzas
Ana Martínez,2024-01-25,08:04,18:41,Presente,Finanzas
Ana Martínez,2024-01-26,08:09,18:42,Presente,Finanzas
Ana Martínez,2024-01-29,08:08,18:43,Presente,Finanzas
Ana Martínez,2024-01-30,08:08,17:02,Presente,Finanzas
Ana Martínez,2024-01-31,08:00,17:36,Presente,Finanzas
Ana Martínez,2024-02-01,09:23,17:17,Tarde,Finanzas
Ana Martínez,2024-02-02,08:04,18:28,Presente,Finanzas
Ana Martínez,2024-02-05,08:14,18:47,Presente,Finanzas
Ana Martínez,2024-02-06,08:06,18:04,Presente,Finanzas
Ana Martínez,2024-02-07,09:16,17:54,Permiso,Finanzas
Ana Martínez,2024-02-08,08:06,18:27,Presente,Finanzas
Ana Martínez,2024-02-09,08:06,18:05,Presente,Finanzas
Ana Martínez,2024-02-12,08:01,17:31,Presente,Finanzas
Ana Martínez,2024-02-13,08:09,18:04,Presente,Finanzas
Ana Martínez,2024-02-14,08:00,17:27,Presente,Finanzas
Ana Martínez,2024-02-15,09:24,18:44,Tarde,Finanzas
Ana Martínez,2024-02-16,08:11,17:27,Presente,Finanzas
Ana Martínez,2024-02-19,08:02,18:58,Presente,Finanzas
Ana Martínez,2024-02-20,08:00,18:36,Presente,Finanzas
Ana Martínez,2024-02-21,08:04,18:05,Presente,Finanzas
Ana Martínez,2024-02-22,N/A,N/A,Ausente,Finanzas
Ana Martínez,2024-02-23,08:00,17:24,Presente,Finanzas
Ana Martínez,2024-02-26,09:00,18:48,Tarde,Finanzas
Ana Martínez,2024-02-27,08:00,17:37,Presente,Finanzas
Ana Martínez,2024-02-28,08:12,17:29,Presente,Finanzas
Ana Martínez,2024-02-29,09:10,18:15,Permiso,Finanzas
Ana Martínez,2024-03-01,08:09,18:15,Presente,Finanzas
Ana Martínez,2024-03-04,08:05,17:09,Presente,Finanzas
Ana Martínez,2024-03-05,08:03,17:46,Presente,Finanzas
Ana Martínez,2024-03-06,08:02,18:17,Presente,Finanzas
Ana Martínez,2024-03-07,08:03,18:26,Presente,Finanzas
Ana Martínez,2024-03-08,08:00,17:34,Presente,Finanzas
Ana Martínez,2024-03-11,08:05,17:15,Presente,Finanzas
Ana Martínez,2024-03-12,08:02,18:10,Presente,Finanzas
Ana Martínez,2024-03-13,08:09,18:50,Presente,Finanzas
Ana Martínez,2024-03-14,09:14,17:40,Tarde,Finanzas
Ana Martínez,2024-03-15,08:11,18:41,Presente,Finanzas
Ana Martínez,2024-03-18,08:12,18:37,Presente,Finanzas
Ana Martínez,2024-03-19,08:10,18:13,Presente,Finanzas
Ana Martínez,2024-03-20,08:02,18:39,Presente,Finanzas
Ana Martínez,2024-03-21,08:05,18:06,Presente,Finanzas
Ana Martínez,2024-03-22,09:00,18:48,Tarde,Finanzas
Ana Martínez,2024-03-25,08:01,17:22,Presente,Finanzas
Ana Martínez,2024-03-26,08:00,18:22,Presente,Finanzas
Ana Martínez,2024-03-27,08:14,17:44,Presente,Finanzas
Ana Martínez,2024-03-28,N/A,N/A,Ausente,Finanzas
Ana Martínez,2024-03-29,08:07,17:50,Presente,Finanzas
Luis Rodríguez,2024-01-01,08:00,18:46,Presente,Ventas
Luis Rodríguez,2024-01-02,08:12,18:04,Presente,Ventas
Luis Rodríguez,2024-01-03,08:04,17:08,Presente,Ventas
Luis Rodríguez,2024-01-04,N/A,N/A,Ausente,Ventas
Luis Rodríguez,2024-01-05,08:01,17:43,Presente,Ventas
Luis Rodríguez,2024-01-08,08:12,17:21,Presente,Ventas
Luis Rodríguez,2024-01-09,09:06,17:23,Tarde,Ventas
Luis Rodríguez,2024-01-10,08:03,17:37,Presente,Ventas
Luis Rodríguez,2024-01-11,08:07,18:08,Presente,Ventas
Luis Rodríguez,2024-01-12,08:00,18:22,Presente,Ventas
Luis Rodríguez,2024-01-15,09:17,17:34,Tarde,Ventas
Luis Rodríguez,2024-01-16,09:10,18:33,Permiso,Ventas
Luis Rodríguez,2024-01-17,08:06,17:21,Presente,Ventas
Luis Rodríguez,2024-01-18,08:04,17:05,Presente,Ventas
Luis Rodríguez,2024-01-19,09:00,18:19,Tarde,Ventas
Luis Rodríguez,2024-01-22,08:13,18:06,Presente,Ventas
Luis Rodríguez,2024-01-23,08:11,17:24,Presente,Ventas
Luis Rodríguez,2024-01-24,08:10,17:22,Presente,Ventas
Luis Rodríguez,2024-01-25,08:00,17:42,Presente,Ventas
Luis Rodríguez,2024-01-26,08:01,17:07,Presente,Ventas
Luis Rodríguez,2024-01-29,09:22,18:11,Permiso,Ventas
Luis Rodríguez,2024-01-30,09:11,18:59,Permiso,Ventas
Luis Rodríguez,2024-01-31,N/A,N/A,Ausente,Ventas
Luis Rodríguez,2024-02-01,08:07,18:36,Presente,Ventas
Luis Rodríguez,2024-02-02,08:04,18:14,Presente,Ventas
Luis Rodríguez,2024-02-05,08:08,17:23,Presente,Ventas
Luis Rodríguez,2024-02-06,08:13,18:43,Presente,Ventas
Luis Rodríguez,2024-02-07,N/A,N/A,Ausente,Ventas
Luis Rodríguez,2024-02-08,08:05,17:46,Presente,Ventas
Luis Rodríguez,2024-02-09,09:12,18:27,Tarde,Ventas
Luis Rodríguez,2024-02-12,08:02,18:59,Presente,Ventas
Luis Rodríguez,2024-02-13,08:14,17:41,Presente,Ventas
Luis Rodríguez,2024-02-14,08:06,17:49,Presente,Ventas
Luis Rodríguez,2024-02-15,08:08,18:18,Presente,Ventas
Luis Rodríguez,2024-02-16,08:01,17:57,Presente,Ventas
Luis Rodríguez,2024-02-19,08:03,18:05,Presente,Ventas
Luis Rodríguez,2024-02-20,08:09,18:15,Presente,Ventas
Luis Rodríguez,2024-02-21,08:10,17:50,Presente,Ventas
Luis Rodríguez,2024-02-22,08:13,17:16,Presente,Ventas
Luis Rodríguez,2024-02-23,08:01,17:25,Presente,Ventas
Luis Rodríguez,2024-02-26,08:06,17:51,Presente,Ventas
Luis Rodríguez,2024-02-27,09:18,17:39,Tarde,Ventas
Luis Rodríguez,2024-02-28,08:13,17:41,Presente,Ventas
Luis Rodríguez,2024-02-29,08:01,18:18,Presente,Ventas
Luis Rodríguez,2024-03-01,08:06,17:50,Presente,Ventas
Luis Rodríguez,2024-03-04,08:04,17:27,Presente,Ventas
Luis Rodríguez,2024-03-05,08:03,18:30,Presente,Ventas
Luis Rodríguez,2024-03-06,08:09,18:40,Presente,Ventas
Luis Rodríguez,2024-03-07,08:13,18:36,Presente,Ventas
Luis Rodríguez,2024-03-08,08:14,17:34,Presente,Ventas
Luis Rodríguez,2024-03-11,08:12,18:34,Presente,Ventas
Luis Rodríguez,2024-03-12,09:02,17:52,Permiso,Ventas
Luis Rodríguez,2024-03-13,08:11,18:42,Presente,Ventas
Luis Rodríguez,2024-03-14,08:08,18:25,Presente,Ventas
Luis Rodríguez,2024-03-15,08:13,17:51,Presente,Ventas
Luis Rodríguez,2024-03-18,08:00,17:22,Presente,Ventas
Luis Rodríguez,2024-03-19,08:11,18:28,Presente,Ventas
Luis Rodríguez,2024-03-20,08:10,17:26,Presente,Ventas
Luis Rodríguez,2024-03-21,08:14,17:23,Presente,Ventas
Luis Rodríguez,2024-03-22,08:02,18:29,Presente,Ventas
Luis Rodríguez,2024-03-25,08:06,18:49,Presente,Ventas
Luis Rodríguez,2024-03-26,09:16,18:28,Tarde,Ventas
Luis Rodríguez,2024-03-27,N/A,N/A,Ausente,Ventas
Luis Rodríguez,2024-03-28,08:08,18:22,Presente,Ventas
Luis Rodríguez,2024-03-29,08:09,18:28,Presente,Ventas
Carmen Silva,2024-01-01,09:16,17:09,Tarde,RRHH
Carmen Silva,2024-01-02,08:11,17:05,Presente,RRHH
Carmen Silva,2024-01-03,08:12,18:47,Presente,RRHH
Carmen Silva,2024-01-04,09:03,18:01,Tarde,RRHH
Carmen Silva,2024-01-05,08:03,17:33,Presente,RRHH
Carmen Silva,2024-01-08,N/A,N/A,Ausente,RRHH
Carmen Silva,2024-01-09,08:12,18:43,Presente,RRHH
Carmen Silva,2024-01-10,08:03,17:26,Presente,RRHH
Carmen Silva,2024-01-11,08:01,17:55,Presente,RRHH
Carmen Silva,2024-01-12,08:12,18:19,Presente,RRHH
Carmen Silva,2024-01-15,08:07,18:56,Presente,RRHH
Carmen Silva,2024-01-16,08:01,18:25,Presente,RRHH
Carmen Silva,2024-01-17,08:08,17:26,Presente,RRHH
Carmen Silva,2024-01-18,08:07,17:28,Presente,RRHH
Carmen Silva,2024-01-19,09:07,17:54,Tarde,RRHH
Carmen Silva,2024-01-22,09:17,17:55,Tarde,RRHH
Carmen Silva,2024-01-23,08:13,18:32,Presente,RRHH
Carmen Silva,2024-01-24,N/A,N/A,Ausente,RRHH
Carmen Silva,2024-01-25,08:08,17:16,Presente,RRHH
Carmen Silva,2024-01-26,08:02,17:01,Presente,RRHH
Carmen Silva,2024-01-29,08:00,18:42,Presente,RRHH
Carmen Silva,2024-01-30,08:13,18:00,Presente,RRHH
Carmen Silva,2024-01-31,08:08,17:29,Presente,RRHH
Carmen Silva,2024-02-01,08:03,18:08,Presente,RRHH
Carmen Silva,2024-02-02,08:14,18:22,Presente,RRHH
Carmen Silva,2024-02-05,08:08,18:39,Presente,RRHH
Carmen Silva,2024-02-06,08:09,17:06,Presente,RRHH
Carmen Silva,2024-02-07,09:19,17:56,Tarde,RRHH
Carmen Silva,2024-02-08,08:03,17:20,Presente,RRHH
Carmen Silva,2024-02-09,08:04,18:01,Presente,RRHH
Carmen Silva,2024-02-12,08:10,17:05,Presente,RRHH
Carmen Silva,2024-02-13,08:14,17:00,Presente,RRHH
Carmen Silva,2024-02-14,08:04,18:37,Presente,RRHH
Carmen Silva,2024-02-15,08:10,18:22,Presente,RRHH
Carmen Silva,2024-02-16,08:00,18:14,Presente,RRHH
Carmen Silva,2024-02-19,08:08,18:46,Presente,RRHH
Carmen Silva,2024-02-20,08:06,18:45,Presente,RRHH
Carmen Silva,2024-02-21,08:12,18:37,Presente,RRHH
Carmen Silva,2024-02-22,N/A,N/A,Ausente,RRHH
Carmen Silva,2024-02-23,09:23,17:24,Tarde,RRHH
Carmen Silva,2024-02-26,08:05,18:12,Presente,RRHH
Carmen Silva,2024-02-27,08:04,18:54,Presente,RRHH
Carmen Silva,2024-02-28,08:09,17:20,Presente,RRHH
Carmen Silva,2024-02-29,08:06,17:58,Presente,RRHH
Carmen Silva,2024-03-01,09:29,17:24,Permiso,RRHH
Carmen Silva,2024-03-04,08:08,17:15,Presente,RRHH
Carmen Silva,2024-03-05,08:10,17:09,Presente,RRHH
Carmen Silva,2024-03-06,08:14,17:04,Presente,RRHH
Carmen Silva,2024-03-07,08:02,17:03,Presente,RRHH
Carmen Silva,2024-03-08,09:06,17:48,Tarde,RRHH
Carmen Silva,2024-03-11,09:03,18:05,Permiso,RRHH
Carmen Silva,2024-03-12,09:02,17:16,Tarde,RRHH
Carmen Silva,2024-03-13,08:03,17:54,Presente,RRHH
Carmen Silva,2024-03-14,08:14,17:35,Presente,RRHH
Carmen Silva,2024-03-15,08:11,18:08,Presente,RRHH
Carmen Silva,2024-03-18,08:11,17:22,Presente,RRHH
Carmen Silva,2024-03-19,08:01,18:33,Presente,RRHH
Carmen Silva,2024-03-20,08:13,18:41,Presente,RRHH
Carmen Silva,2024-03-21,08:14,18:38,Presente,RRHH
Carmen Silva,2024-03-22,08:08,17:33,Presente,RRHH
Carmen Silva,2024-03-25,08:12,17:05,Presente,RRHH
Carmen Silva,2024-03-26,08:14,18:03,Presente,RRHH
Carmen Silva,2024-03-27,08:02,18:13,Presente,RRHH
Carmen Silva,2024-03-28,08:07,18:25,Presente,RRHH
Carmen Silva,2024-03-29,N/A,N/A,Ausente,RRHH
Pedro Torres,2024-01-01,08:11,18:00,Presente,Ventas
Pedro Torres,2024-01-02,08:00,17:49,Presente,Ventas
Pedro Torres,2024-01-03,08:03,18:08,Presente,Ventas
Pedro Torres,2024-01-04,08:05,18:37,Presente,Ventas
Pedro Torres,2024-01-05,08:11,17:35,Presente,Ventas
Pedro Torres,2024-01-08,08:11,17:54,Presente,Ventas
Pedro Torres,2024-01-09,08:12,18:21,Presente,Ventas
Pedro Torres,2024-01-10,08:02,18:35,Presente,Ventas
Pedro Torres,2024-01-11,08:09,18:43,Presente,Ventas
Pedro Torres,2024-01-12,08:08,17:59,Presente,Ventas
Pedro Torres,2024-01-15,N/A,N/A,Ausente,Ventas
Pedro Torres,2024-01-16,08:07,17:28,Presente,Ventas
Pedro Torres,2024-01-17,08:00,18:32,Presente,Ventas
Pedro Torres,2024-01-18,09:12,18:19,Tarde,Ventas
Pedro Torres,2024-01-19,08:04,17:26,Presente,Ventas
Pedro Torres,2024-01-22,08:05,17:59,Presente,Ventas
Pedro Torres,2024-01-23,08:10,17:55,Presente,Ventas
Pedro Torres,2024-01-24,08:12,17:10,Presente,Ventas
Pedro Torres,2024-01-25,08:13,18:17,Presente,Ventas
Pedro Torres,2024-01-26,09:26,18:31,Permiso,Ventas
Pedro Torres,2024-01-29,N/A,N/A,Ausente,Ventas
Pedro Torres,2024-01-30,08:08,17:16,Presente,Ventas
Pedro Torres,2024-01-31,09:26,17:32,Permiso,Ventas
Pedro Torres,2024-02-01,08:10,17:42,Presente,Ventas
Pedro Torres,2024-02-02,08:09,18:28,Presente,Ventas
Pedro Torres,2024-02-05,08:06,18:57,Presente,Ventas
Pedro Torres,2024-02-06,N/A,N/A,Ausente,Ventas
Pedro Torres,2024-02-07,08:05,17:32,Presente,Ventas
Pedro Torres,2024-02-08,08:10,18:56,Presente,Ventas
Pedro Torres,2024-02-09,08:00,18:20,Presente,Ventas
Pedro Torres,2024-02-12,08:04,17:09,Presente,Ventas
Pedro Torres,2024-02-13,09:07,18:30,Permiso,Ventas
Pedro Torres,2024-02-14,09:18,18:10,Permiso,Ventas
Pedro Torres,2024-02-15,09:01,17:01,Permiso,Ventas
Pedro Torres,2024-02-16,08:12,18:24,Presente,Ventas
Pedro Torres,2024-02-19,08:09,17:18,Presente,Ventas
Pedro Torres,2024-02-20,08:07,17:10,Presente,Ventas
Pedro Torres,2024-02-21,08:11,17:56,Presente,Ventas
Pedro Torres,2024-02-22,08:07,17:10,Presente,Ventas
Pedro Torres,2024-02-23,08:04,17:25,Presente,Ventas
Pedro Torres,2024-02-26,09:12,18:52,Permiso,Ventas
Pedro Torres,2024-02-27,08:04,17:47,Presente,Ventas
Pedro Torres,2024-02-28,N/A,N/A,Ausente,Ventas
Pedro Torres,2024-02-29,08:06,17:52,Presente,Ventas
Pedro Torres,2024-03-01,08:03,17:41,Presente,Ventas
Pedro Torres,2024-03-04,08:03,18:42,Presente,Ventas
Pedro Torres,2024-03-05,09:12,18:29,Tarde,Ventas
Pedro Torres,2024-03-06,08:01,18:57,Presente,Ventas
Pedro Torres,2024-03-07,08:08,18:08,Presente,Ventas
Pedro Torres,2024-03-08,08:10,17:16,Presente,Ventas
Pedro Torres,2024-03-11,08:12,18:50,Presente,Ventas
Pedro Torres,2024-03-12,08:06,17:49,Presente,Ventas
